ticker,公司名稱,產業,等級,加入日期,備註,company,sector,tier,added,note,tags
AAPL,Apple Inc.,資訊科技硬體,核心,2025-03-11,服務業務佔比是觀察重點,Apple Inc.,資訊科技硬體,,,,
MSFT,Microsoft Corp.,軟體,核心,2025-03-11,Azure 成長率,Microsoft Corporation,軟體,,,,
NVDA,NVIDIA Corp.,半導體,觀察,2026-01-04,成長減速中,NVIDIA Corporation,半導體,,,,
AAOI,,,,,,"Applied Optoelectronics, Inc.",資訊科技硬體,觀察,2026-08-29,,CPO
MRVL,,,,,,"Marvell Technology, Inc.",半導體,池子,2026-08-30,,
MU,,,,,,"Micron Technology, Inc.",半導體,池子,2026-08-30,,
TER,,,,,,"Teradyne, Inc.",半導體設備,池子,2026-08-31,,
DELL,,,,,,Dell Technologies Inc.,資訊科技硬體,池子,2026-08-31,,
DIOD,,,,,,Diodes Incorporated,半導體,池子,2026-08-31,,
CRWD,,,,,,"CrowdStrike Holdings, Inc.",軟體,池子,2026-09-01,,
NET,,,,,,"Cloudflare, Inc.",軟體,核心,2026-09-02,,
